timestamp,pump_id,temperature_C,pressure_bar,flow_m3h,power_kW,rpm,vibration_mms,operating_hours,status
2026-01-01 00:00:00,P-103,63.16,4.528,184.96,24.38,1463.9,1.959,2500.0,Normal
2026-01-01 00:15:00,P-104,63.37,4.714,178.74,21.96,1416.8,1.682,2500.02,Normal
2026-01-01 00:30:00,P-104,59.61,4.763,187.17,26.58,1445.7,2.122,2500.03,Normal
2026-01-01 00:45:00,P-103,62.24,4.718,192.16,26.7,1430.4,1.678,2500.04,Normal
2026-01-01 01:00:00,P-102,61.94,4.504,171.03,19.63,1501.5,1.387,2500.06,Normal
2026-01-01 01:15:00,P-104,60.7,4.722,175.96,21.75,1431.9,1.384,2500.07,Normal
2026-01-01 01:30:00,P-101,64.94,4.82,194.07,25.84,1423.0,1.964,2500.09,Normal
2026-01-01 01:45:00,P-101,57.72,4.684,183.75,24.9,1400.1,1.674,2500.1,Normal
2026-01-01 02:00:00,P-101,57.63,4.598,178.33,25.1,1431.3,1.798,2500.12,Normal
2026-01-01 02:15:00,P-104,62.18,4.541,176.2,25.21,1452.2,1.976,2500.14,Normal
2026-01-01 02:30:00,P-101,63.86,4.925,199.78,25.56,1469.6,1.949,2500.15,Normal
2026-01-01 02:45:00,P-102,61.36,4.684,197.12,26.62,1430.7,1.678,2500.16,Normal
2026-01-01 03:00:00,P-101,61.95,4.771,189.11,27.06,1471.1,2.149,2500.18,Normal
2026-01-01 03:15:00,P-102,63.61,5.215,215.02,27.54,1448.9,1.877,2500.2,Normal
2026-01-01 03:30:00,P-102,59.54,4.903,205.18,27.89,1441.3,1.887,2500.21,Normal
2026-01-01 03:45:00,P-104,58.54,4.832,191.12,24.34,1453.1,1.7,2500.22,Normal
2026-01-01 04:00:00,P-101,61.6,4.741,204.08,26.88,1475.5,1.711,2500.24,Normal
2026-01-01 04:15:00,P-101,61.97,4.617,192.07,23.94,1450.9,1.884,2500.26,Normal
2026-01-01 04:30:00,P-103,59.07,5.041,203.76,26.78,1430.1,1.704,2500.27,Normal
2026-01-01 04:45:00,P-101,60.37,4.845,209.04,27.49,1457.6,1.904,2500.28,Normal
2026-01-01 05:00:00,P-102,60.18,5.024,208.58,28.68,1457.3,2.208,2500.3,Normal
2026-01-01 05:15:00,P-101,61.22,4.873,191.92,27.52,1446.6,2.039,2500.32,Normal
2026-01-01 05:30:00,P-103,62.05,5.472,220.24,32.43,1468.4,2.066,2500.33,Normal
2026-01-01 05:45:00,P-103,59.69,4.882,211.04,28.64,1408.8,1.761,2500.34,Normal
2026-01-01 06:00:00,P-103,63.46,4.978,207.11,26.45,1456.4,1.943,2500.36,Normal
2026-01-01 06:15:00,P-103,59.68,4.861,221.45,29.84,1464.1,1.827,2500.38,Normal
2026-01-01 06:30:00,P-102,61.12,5.189,229.82,29.9,1423.9,2.295,2500.39,Normal
2026-01-01 06:45:00,P-104,58.21,5.12,218.21,31.39,1423.3,1.952,2500.41,Normal
2026-01-01 07:00:00,P-104,60.3,4.974,220.95,28.89,1468.0,1.91,2500.42,Normal
